# Region type : patch inlet
# Faces  :    192
# Area   :    5.944480e-04
# Time        	sum(phi)
0.0005        	-1.249304e-06
0.001         	-1.312720e-06
0.0015        	-1.528855e-06
0.002         	-1.541042e-06
0.0025        	-1.563315e-06
0.003         	-1.578379e-06
0.0035        	-1.617544e-06
0.004         	-1.670672e-06
0.0045        	-1.723852e-06
0.005         	-1.769237e-06
0.0055        	-1.808113e-06
0.006         	-1.844282e-06
0.0065        	-1.883052e-06
0.007         	-1.928071e-06
0.0075        	-1.982573e-06
0.008         	-2.036797e-06
0.0085        	-2.094605e-06
0.009         	-2.155113e-06
0.0095        	-2.216268e-06
0.01          	-2.272133e-06
0.0105        	-2.326375e-06
0.011         	-2.385087e-06
0.0115        	-2.442165e-06
0.012         	-2.499627e-06
0.0125        	-2.553964e-06
0.013         	-2.605463e-06
0.0135        	-2.650742e-06
0.014         	-2.711795e-06
0.0145        	-2.771135e-06
0.015         	-2.811808e-06
0.0155        	-2.866677e-06
0.016         	-2.933646e-06
0.0165        	-2.989703e-06
0.017         	-3.036257e-06
0.0175        	-3.085365e-06
0.018         	-3.141635e-06
0.0185        	-3.196807e-06
0.019         	-3.247663e-06
0.0195        	-3.295306e-06
0.02          	-3.350642e-06
0.0205        	-3.409883e-06
0.021         	-3.463071e-06
0.0215        	-3.510259e-06
0.022         	-3.564361e-06
0.0225        	-3.625343e-06
0.023         	-3.677171e-06
0.0235        	-3.726414e-06
0.024         	-3.782691e-06
0.0245        	-3.840219e-06
0.025         	-3.885724e-06
0.0255        	-3.937505e-06
0.026         	-4.004602e-06
0.0265        	-4.057899e-06
0.027         	-4.101216e-06
0.0275        	-4.153099e-06
0.028         	-4.223970e-06
0.0285        	-4.284509e-06
0.029         	-4.316225e-06
0.0295        	-4.364053e-06
0.03          	-4.437998e-06
0.0305        	-4.493917e-06
0.031         	-4.529032e-06
0.0315        	-4.575013e-06
0.032         	-4.651190e-06
0.0325        	-4.715698e-06
0.033         	-4.752114e-06
0.0335        	-4.793392e-06
0.034         	-4.865218e-06
0.0345        	-4.930192e-06
0.035         	-4.971237e-06
0.0355        	-5.004822e-06
0.036         	-5.082081e-06
0.0365        	-5.149661e-06
0.037         	-5.188181e-06
0.0375        	-5.223529e-06
0.038         	-5.289244e-06
0.0385        	-5.354968e-06
0.039         	-5.400361e-06
0.0395        	-5.444869e-06
0.04          	-5.510024e-06
0.0405        	-5.571023e-06
0.041         	-5.613882e-06
0.0415        	-5.656450e-06
0.042         	-5.720669e-06
0.0425        	-5.789917e-06
0.043         	-5.841558e-06
0.0435        	-5.875197e-06
0.044         	-5.931668e-06
0.0445        	-5.998795e-06
0.045         	-6.052042e-06
0.0455        	-6.088565e-06
0.046         	-6.140498e-06
0.0465        	-6.202796e-06
0.047         	-6.250382e-06
0.0475        	-6.290691e-06
0.048         	-6.346515e-06
0.0485        	-6.405326e-06
0.049         	-6.455037e-06
0.0495        	-6.486506e-06
0.05          	-6.562292e-06
0.0505        	-6.638885e-06
0.051         	-6.683421e-06
0.0515        	-6.715145e-06
0.052         	-6.774283e-06
0.0525        	-6.830289e-06
0.053         	-6.875472e-06
0.0535        	-6.924045e-06
0.054         	-6.998924e-06
0.0545        	-7.055164e-06
0.055         	-7.084838e-06
0.0555        	-7.126428e-06
0.056         	-7.191254e-06
0.0565        	-7.255503e-06
0.057         	-7.286898e-06
0.0575        	-7.321754e-06
0.058         	-7.403354e-06
0.0585        	-7.473943e-06
0.059         	-7.510523e-06
0.0595        	-7.536831e-06
0.06          	-7.587050e-06
0.0605        	-7.641191e-06
0.061         	-7.685651e-06
0.0615        	-7.725263e-06
0.062         	-7.761458e-06
0.0625        	-7.797085e-06
0.063         	-7.823427e-06
0.0635        	-7.842715e-06
0.064         	-7.885923e-06
0.0645        	-7.945019e-06
0.065         	-8.004531e-06
0.0655        	-8.049638e-06
0.066         	-8.092602e-06
0.0665        	-8.149832e-06
0.067         	-8.209380e-06
0.0675        	-8.250233e-06
0.068         	-8.289682e-06
0.0685        	-8.366155e-06
0.069         	-8.436847e-06
0.0695        	-8.483512e-06
0.07          	-8.501241e-06
0.0705        	-8.565748e-06
0.071         	-8.650331e-06
0.0715        	-8.709048e-06
0.072         	-8.741526e-06
0.0725        	-8.801174e-06
0.073         	-8.867986e-06
0.0735        	-8.926046e-06
0.074         	-8.973786e-06
0.0745        	-9.016922e-06
0.075         	-9.081890e-06
0.0755        	-9.145420e-06
0.076         	-9.204657e-06
0.0765        	-9.254547e-06
0.077         	-9.287219e-06
0.0775        	-9.320858e-06
0.078         	-9.366722e-06
0.0785        	-9.432381e-06
0.079         	-9.506049e-06
0.0795        	-9.561366e-06
0.08          	-9.621461e-06
0.0805        	-9.675970e-06
0.081         	-9.731385e-06
0.0815        	-9.786501e-06
0.082         	-9.840407e-06
0.0825        	-9.878288e-06
0.083         	-9.934390e-06
0.0835        	-1.000829e-05
0.084         	-1.006901e-05
0.0845        	-1.007781e-05
0.085         	-1.014008e-05
0.0855        	-1.023743e-05
0.086         	-1.031342e-05
0.0865        	-1.032615e-05
0.087         	-1.036679e-05
0.0875        	-1.043861e-05
0.088         	-1.051910e-05
0.0885        	-1.054186e-05
0.089         	-1.054616e-05
0.0895        	-1.046333e-05
0.09          	-1.073234e-05
0.0905        	-1.092491e-05
0.091         	-1.095863e-05
0.0915        	-1.093883e-05
0.092         	-1.091154e-05
0.0925        	-1.091694e-05
0.093         	-1.100900e-05
0.0935        	-1.108612e-05
0.094         	-1.112958e-05
0.0945        	-1.114283e-05
0.095         	-1.117977e-05
0.0955        	-1.126521e-05
0.096         	-1.132873e-05
0.0965        	-1.135322e-05
0.097         	-1.135471e-05
0.0975        	-1.149252e-05
0.098         	-1.159194e-05
0.0985        	-1.161890e-05
0.099         	-1.162829e-05
0.0995        	-1.168385e-05
0.1           	-1.179210e-05
