# Region type : patch inlet
# Faces  :    192
# Area   :    5.944480e-04
# Time        	sum(phi)
0.0005        	-1.199705e-06
0.001         	-1.218746e-06
0.0015        	-1.234112e-06
0.002         	-1.340910e-06
0.0025        	-1.472517e-06
0.003         	-1.456123e-06
0.0035        	-1.481375e-06
0.004         	-1.515248e-06
0.0045        	-1.586698e-06
0.005         	-1.621979e-06
0.0055        	-1.665075e-06
0.006         	-1.708593e-06
0.0065        	-1.727262e-06
0.007         	-1.751624e-06
0.0075        	-1.792457e-06
0.008         	-1.822507e-06
0.0085        	-1.852681e-06
0.009         	-1.878300e-06
0.0095        	-1.913981e-06
0.01          	-1.937659e-06
0.0105        	-2.191079e-06
0.011         	-2.260768e-06
0.0115        	-2.280064e-06
0.012         	-2.404316e-06
0.0125        	-2.486099e-06
0.013         	-2.510739e-06
0.0135        	-2.569913e-06
0.014         	-2.602272e-06
0.0145        	-2.648156e-06
0.015         	-2.710395e-06
0.0155        	-2.765310e-06
0.016         	-2.795286e-06
0.0165        	-2.875445e-06
0.017         	-2.921400e-06
0.0175        	-2.977156e-06
0.018         	-3.029119e-06
0.0185        	-3.048100e-06
0.019         	-3.111339e-06
0.0195        	-3.173811e-06
0.02          	-3.193588e-06
0.0205        	-3.239833e-06
0.021         	-3.310648e-06
0.0215        	-3.368015e-06
0.022         	-3.421096e-06
0.0225        	-3.476479e-06
0.023         	-3.529213e-06
0.0235        	-3.584430e-06
0.024         	-3.645054e-06
0.0245        	-3.695009e-06
0.025         	-3.770054e-06
0.0255        	-3.808845e-06
0.026         	-3.842338e-06
0.0265        	-3.890058e-06
0.027         	-3.947650e-06
0.0275        	-3.969164e-06
0.028         	-4.013696e-06
0.0285        	-4.066355e-06
0.029         	-4.117923e-06
0.0295        	-4.172140e-06
0.03          	-4.229386e-06
0.0305        	-4.289944e-06
0.031         	-4.352726e-06
0.0315        	-4.417469e-06
0.032         	-4.482625e-06
0.0325        	-4.541923e-06
0.033         	-4.675351e-06
0.0335        	-4.727786e-06
0.034         	-4.779080e-06
0.0345        	-4.838762e-06
0.035         	-4.887478e-06
0.0355        	-4.950272e-06
0.036         	-4.988790e-06
0.0365        	-5.034622e-06
0.037         	-5.088201e-06
0.0375        	-5.142958e-06
0.038         	-5.188463e-06
0.0385        	-5.228478e-06
0.039         	-5.277510e-06
0.0395        	-5.320967e-06
0.04          	-5.361120e-06
0.0405        	-5.407573e-06
0.041         	-5.453355e-06
0.0415        	-5.505741e-06
0.042         	-5.548859e-06
0.0425        	-5.593765e-06
0.043         	-5.639044e-06
0.0435        	-5.722915e-06
0.044         	-5.745935e-06
0.0445        	-5.776071e-06
0.045         	-5.825679e-06
0.0455        	-5.886932e-06
0.046         	-6.014388e-06
0.0465        	-6.064699e-06
0.047         	-6.103496e-06
0.0475        	-6.149763e-06
0.048         	-6.213691e-06
0.0485        	-6.274280e-06
0.049         	-6.329698e-06
0.0495        	-6.391076e-06
0.05          	-6.453258e-06
0.0505        	-6.496360e-06
0.051         	-6.545927e-06
0.0515        	-6.598058e-06
0.052         	-6.647344e-06
0.0525        	-6.705871e-06
0.053         	-6.759975e-06
0.0535        	-6.822489e-06
0.054         	-6.878767e-06
0.0545        	-6.927872e-06
0.055         	-6.987884e-06
0.0555        	-7.040394e-06
0.056         	-7.103494e-06
0.0565        	-7.154420e-06
0.057         	-7.211252e-06
0.0575        	-7.266196e-06
0.058         	-7.327810e-06
0.0585        	-7.378986e-06
