# Region type : patch outlet
# Faces  :    192
# Area   :    5.944480e-04
# Time        	sum(phi)
0.0005        	1.279870e-06
0.001         	1.350592e-06
0.0015        	1.562703e-06
0.002         	1.583636e-06
0.0025        	1.621089e-06
0.003         	1.652250e-06
0.0035        	1.701963e-06
0.004         	1.760468e-06
0.0045        	1.797076e-06
0.005         	1.828700e-06
0.0055        	1.865444e-06
0.006         	1.891583e-06
0.0065        	1.935926e-06
0.007         	1.981401e-06
0.0075        	2.031440e-06
0.008         	2.073208e-06
0.0085        	2.123921e-06
0.009         	2.188707e-06
0.0095        	2.246657e-06
0.01          	2.298756e-06
0.0105        	2.362875e-06
0.011         	2.429331e-06
0.0115        	2.488534e-06
0.012         	2.547657e-06
0.0125        	2.584430e-06
0.013         	2.607354e-06
0.0135        	2.646018e-06
0.014         	2.706915e-06
0.0145        	2.763234e-06
0.015         	2.800411e-06
0.0155        	2.850561e-06
0.016         	2.918320e-06
0.0165        	2.982118e-06
0.017         	3.029272e-06
0.0175        	3.106526e-06
0.018         	3.176442e-06
0.0185        	3.232233e-06
0.019         	3.290308e-06
0.0195        	3.336146e-06
0.02          	3.396469e-06
0.0205        	3.437854e-06
0.021         	3.493525e-06
0.0215        	3.546748e-06
0.022         	3.596355e-06
0.0225        	3.660609e-06
0.023         	3.722933e-06
0.0235        	3.762063e-06
0.024         	3.809936e-06
0.0245        	3.854455e-06
0.025         	3.908543e-06
0.0255        	3.957774e-06
0.026         	4.019072e-06
0.0265        	4.071808e-06
0.027         	4.119406e-06
0.0275        	4.172803e-06
0.028         	4.238957e-06
0.0285        	4.288691e-06
0.029         	4.327478e-06
0.0295        	4.373912e-06
0.03          	4.441550e-06
0.0305        	4.497551e-06
0.031         	4.535278e-06
0.0315        	4.579775e-06
0.032         	4.653263e-06
0.0325        	4.722049e-06
0.033         	4.765311e-06
0.0335        	4.810116e-06
0.034         	4.878717e-06
0.0345        	4.951095e-06
0.035         	4.991868e-06
0.0355        	5.023602e-06
0.036         	5.094538e-06
0.0365        	5.160580e-06
0.037         	5.201699e-06
0.0375        	5.237157e-06
0.038         	5.300807e-06
0.0385        	5.368269e-06
0.039         	5.419259e-06
0.0395        	5.469687e-06
0.04          	5.521619e-06
0.0405        	5.581753e-06
0.041         	5.634512e-06
0.0415        	5.673249e-06
0.042         	5.732386e-06
0.0425        	5.799429e-06
0.043         	5.856197e-06
0.0435        	5.890688e-06
0.044         	5.936847e-06
0.0445        	5.993479e-06
0.045         	6.048718e-06
0.0455        	6.088008e-06
0.046         	6.142079e-06
0.0465        	6.198799e-06
0.047         	6.252875e-06
0.0475        	6.296154e-06
0.048         	6.350812e-06
0.0485        	6.403746e-06
0.049         	6.457871e-06
0.0495        	6.492423e-06
0.05          	6.566434e-06
0.0505        	6.642411e-06
0.051         	6.696543e-06
0.0515        	6.717823e-06
0.052         	6.774672e-06
0.0525        	6.838407e-06
0.053         	6.886634e-06
0.0535        	6.935957e-06
0.054         	7.011237e-06
0.0545        	7.068391e-06
0.055         	7.093237e-06
0.0555        	7.139316e-06
0.056         	7.196876e-06
0.0565        	7.254914e-06
0.057         	7.288676e-06
0.0575        	7.325088e-06
0.058         	7.399298e-06
0.0585        	7.470969e-06
0.059         	7.518985e-06
0.0595        	7.552611e-06
0.06          	7.599364e-06
0.0605        	7.636527e-06
0.061         	7.669349e-06
0.0615        	7.708104e-06
0.062         	7.748898e-06
0.0625        	7.776608e-06
0.063         	7.801234e-06
0.0635        	7.825063e-06
0.064         	7.869943e-06
0.0645        	7.926966e-06
0.065         	7.988985e-06
0.0655        	8.035900e-06
0.066         	8.072586e-06
0.0665        	8.119457e-06
0.067         	8.192303e-06
0.0675        	8.245231e-06
0.068         	8.273738e-06
0.0685        	8.344909e-06
0.069         	8.415447e-06
0.0695        	8.465515e-06
0.07          	8.478553e-06
0.0705        	8.546491e-06
0.071         	8.646400e-06
0.0715        	8.719157e-06
0.072         	8.750399e-06
0.0725        	8.801301e-06
0.073         	8.845521e-06
0.0735        	8.908040e-06
0.074         	8.986223e-06
0.0745        	9.021798e-06
0.075         	9.092768e-06
0.0755        	9.168383e-06
0.076         	9.226247e-06
0.0765        	9.273414e-06
0.077         	9.310965e-06
0.0775        	9.347667e-06
0.078         	9.399335e-06
0.0785        	9.460210e-06
0.079         	9.531367e-06
0.0795        	9.584257e-06
0.08          	9.642890e-06
0.0805        	9.713645e-06
0.081         	9.773756e-06
0.0815        	9.812354e-06
0.082         	9.866001e-06
0.0825        	9.912135e-06
0.083         	9.964312e-06
0.0835        	1.004359e-05
0.084         	1.012189e-05
0.0845        	1.011522e-05
0.085         	1.018375e-05
0.0855        	1.029636e-05
0.086         	1.037772e-05
0.0865        	1.038968e-05
0.087         	1.042283e-05
0.0875        	1.049140e-05
0.088         	1.056015e-05
0.0885        	1.058033e-05
0.089         	1.059965e-05
0.0895        	1.053671e-05
0.09          	1.079111e-05
0.0905        	1.097188e-05
0.091         	1.101513e-05
0.0915        	1.100639e-05
0.092         	1.097176e-05
0.0925        	1.098623e-05
0.093         	1.109324e-05
0.0935        	1.116952e-05
0.094         	1.122400e-05
0.0945        	1.123447e-05
0.095         	1.122016e-05
0.0955        	1.131671e-05
0.096         	1.138909e-05
0.0965        	1.142936e-05
0.097         	1.142047e-05
0.0975        	1.155295e-05
0.098         	1.167558e-05
0.0985        	1.172113e-05
0.099         	1.175831e-05
0.0995        	1.180192e-05
0.1           	1.188810e-05
