# Region type : patch outlet
# Faces  :    192
# Area   :    5.944480e-04
# Time        	sum(phi)
0.0005        	1.163470e-06
0.001         	1.166108e-06
0.0015        	1.177398e-06
0.002         	1.286065e-06
0.0025        	1.400930e-06
0.003         	1.381998e-06
0.0035        	1.409151e-06
0.004         	1.443946e-06
0.0045        	1.552802e-06
0.005         	1.598240e-06
0.0055        	1.641901e-06
0.006         	1.688931e-06
0.0065        	1.733872e-06
0.007         	1.779388e-06
0.0075        	1.832659e-06
0.008         	1.870714e-06
0.0085        	1.903190e-06
0.009         	1.930056e-06
0.0095        	1.964366e-06
0.01          	1.985726e-06
0.0105        	2.236758e-06
0.011         	2.303995e-06
0.0115        	2.325702e-06
0.012         	2.430437e-06
0.0125        	2.500648e-06
0.013         	2.525901e-06
0.0135        	2.587713e-06
0.014         	2.618026e-06
0.0145        	2.661752e-06
0.015         	2.723535e-06
0.0155        	2.782570e-06
0.016         	2.813600e-06
0.0165        	2.896271e-06
0.017         	2.946060e-06
0.0175        	3.001464e-06
0.018         	3.077270e-06
0.0185        	3.096924e-06
0.019         	3.151750e-06
0.0195        	3.200150e-06
0.02          	3.205416e-06
0.0205        	3.238583e-06
0.021         	3.305035e-06
0.0215        	3.353023e-06
0.022         	3.392595e-06
0.0225        	3.436191e-06
0.023         	3.509312e-06
0.0235        	3.567161e-06
0.024         	3.617447e-06
0.0245        	3.658274e-06
0.025         	3.723279e-06
0.0255        	3.753604e-06
0.026         	3.777170e-06
0.0265        	3.819526e-06
0.027         	3.870823e-06
0.0275        	3.885985e-06
0.028         	3.923399e-06
0.0285        	3.970075e-06
0.029         	4.016154e-06
0.0295        	4.064919e-06
0.03          	4.118437e-06
0.0305        	4.176323e-06
0.031         	4.233796e-06
0.0315        	4.293234e-06
0.032         	4.354139e-06
0.0325        	4.408403e-06
0.033         	4.531237e-06
0.0335        	4.576857e-06
0.034         	4.625786e-06
0.0345        	4.679126e-06
0.035         	4.728106e-06
0.0355        	4.788741e-06
0.036         	4.826215e-06
0.0365        	4.872182e-06
0.037         	4.926126e-06
0.0375        	4.980774e-06
0.038         	5.027142e-06
0.0385        	5.067929e-06
0.039         	5.117309e-06
0.0395        	5.154829e-06
0.04          	5.193453e-06
0.0405        	5.240111e-06
0.041         	5.291651e-06
0.0415        	5.351387e-06
0.042         	5.400078e-06
0.0425        	5.448318e-06
0.043         	5.496523e-06
0.0435        	5.579671e-06
0.044         	5.600852e-06
0.0445        	5.635801e-06
0.045         	5.688879e-06
0.0455        	5.750649e-06
0.046         	5.882694e-06
0.0465        	5.948021e-06
0.047         	5.994370e-06
0.0475        	6.040311e-06
0.048         	6.112996e-06
0.0485        	6.182062e-06
0.049         	6.240344e-06
0.0495        	6.326782e-06
0.05          	6.390853e-06
0.0505        	6.445247e-06
0.051         	6.504846e-06
0.0515        	6.566754e-06
0.052         	6.623430e-06
0.0525        	6.681297e-06
0.053         	6.739178e-06
0.0535        	6.797888e-06
0.054         	6.854333e-06
0.0545        	6.902219e-06
0.055         	6.961905e-06
0.0555        	7.016995e-06
0.056         	7.081635e-06
0.0565        	7.134750e-06
0.057         	7.193992e-06
0.0575        	7.250738e-06
0.058         	7.314795e-06
0.0585        	7.367757e-06
0.059         	7.427067e-06
0.0595        	7.484104e-06
0.06          	7.538391e-06
0.0605        	7.597206e-06
0.061         	7.649438e-06
0.0615        	7.735538e-06
0.062         	7.767732e-06
0.0625        	7.827072e-06
0.063         	7.881328e-06
0.0635        	7.923565e-06
0.064         	7.971891e-06
0.0645        	8.008745e-06
0.065         	8.045547e-06
0.0655        	8.088013e-06
0.066         	8.122512e-06
0.0665        	8.161827e-06
0.067         	8.213767e-06
0.0675        	8.262314e-06
0.068         	8.312201e-06
0.0685        	8.371303e-06
0.069         	8.429221e-06
0.0695        	8.487085e-06
0.07          	8.545024e-06
0.0705        	8.607214e-06
0.071         	8.676880e-06
0.0715        	8.744370e-06
0.072         	8.807702e-06
0.0725        	8.861663e-06
0.073         	8.911582e-06
0.0735        	8.963116e-06
0.074         	9.006697e-06
0.0745        	9.052904e-06
0.075         	9.098447e-06
0.0755        	9.143395e-06
0.076         	9.189250e-06
0.0765        	9.224037e-06
0.077         	9.267658e-06
0.0775        	9.305915e-06
0.078         	9.347005e-06
0.0785        	9.391796e-06
0.079         	9.436120e-06
0.0795        	9.482024e-06
0.08          	9.525659e-06
0.0805        	9.576111e-06
0.081         	9.612405e-06
0.0815        	9.671775e-06
0.082         	9.721281e-06
0.0825        	9.771436e-06
0.083         	9.835497e-06
0.0835        	9.886827e-06
0.084         	9.944958e-06
0.0845        	1.001382e-05
0.085         	1.007150e-05
0.0855        	1.013197e-05
0.086         	1.018147e-05
0.0865        	1.023841e-05
0.087         	1.029200e-05
0.0875        	1.034845e-05
0.088         	1.040436e-05
0.0885        	1.045739e-05
0.089         	1.051291e-05
0.0895        	1.056813e-05
0.09          	1.062458e-05
0.0905        	1.068024e-05
0.091         	1.073552e-05
0.0915        	1.078864e-05
0.092         	1.084649e-05
0.0925        	1.090353e-05
0.093         	1.095973e-05
0.0935        	1.102615e-05
0.094         	1.108023e-05
0.0945        	1.113820e-05
0.095         	1.119474e-05
0.0955        	1.125157e-05
0.096         	1.130888e-05
0.0965        	1.136804e-05
0.097         	1.142182e-05
0.0975        	1.147296e-05
0.098         	1.152842e-05
0.0985        	1.158970e-05
0.099         	1.163701e-05
0.0995        	1.169036e-05
0.1           	1.174451e-05
