# Region type : patch wall
# Faces  :    768
# Area   :    4.787251e-03
# Time        	sum(phi)
0.0005        	3.623832e-08
0.001         	5.263719e-08
0.0015        	5.671407e-08
0.002         	5.484445e-08
0.0025        	7.159309e-08
0.003         	7.412440e-08
0.0035        	7.222426e-08
0.004         	7.130166e-08
0.0045        	3.389676e-08
0.005         	2.373851e-08
0.0055        	2.317290e-08
0.006         	1.966197e-08
0.0065        	-6.612169e-09
0.007         	-2.776190e-08
0.0075        	-4.020259e-08
0.008         	-4.820523e-08
0.0085        	-5.050909e-08
0.009         	-5.175607e-08
0.0095        	-5.038576e-08
0.01          	-4.806536e-08
0.0105        	-4.567799e-08
0.011         	-4.322670e-08
0.0115        	-4.563812e-08
0.012         	-2.611981e-08
0.0125        	-1.455065e-08
0.013         	-1.516358e-08
0.0135        	-1.779917e-08
0.014         	-1.575350e-08
0.0145        	-1.359653e-08
0.015         	-1.314032e-08
0.0155        	-1.725942e-08
0.016         	-1.831634e-08
0.0165        	-2.082548e-08
0.017         	-2.465982e-08
0.0175        	-2.430816e-08
0.018         	-4.815239e-08
0.0185        	-4.882410e-08
0.019         	-4.041021e-08
0.0195        	-2.633969e-08
0.02          	-1.182870e-08
0.0205        	1.251816e-09
0.021         	5.613685e-09
0.0215        	1.499387e-08
0.022         	2.850080e-08
0.0225        	4.028770e-08
0.023         	1.990244e-08
0.0235        	1.727024e-08
0.024         	2.760718e-08
0.0245        	3.673574e-08
0.025         	4.677299e-08
0.0255        	5.524053e-08
0.026         	6.516780e-08
0.0265        	7.053067e-08
0.027         	7.682722e-08
0.0275        	8.317906e-08
0.028         	9.029650e-08
0.0285        	9.627927e-08
0.029         	1.017674e-07
0.0295        	1.072208e-07
0.03          	1.109471e-07
0.0305        	1.136206e-07
0.031         	1.189277e-07
0.0315        	1.242371e-07
0.032         	1.284879e-07
0.0325        	1.335199e-07
0.033         	1.441157e-07
0.0335        	1.509280e-07
0.034         	1.532948e-07
0.0345        	1.596360e-07
0.035         	1.593723e-07
0.0355        	1.615300e-07
0.036         	1.625734e-07
0.0365        	1.624399e-07
0.037         	1.620743e-07
0.0375        	1.621839e-07
0.038         	1.613219e-07
0.0385        	1.605489e-07
0.039         	1.601996e-07
0.0395        	1.661384e-07
0.04          	1.676678e-07
0.0405        	1.674622e-07
0.041         	1.617034e-07
0.0415        	1.543528e-07
0.042         	1.487810e-07
0.0425        	1.454449e-07
0.043         	1.425195e-07
0.0435        	1.432451e-07
0.044         	1.450838e-07
0.0445        	1.402703e-07
0.045         	1.367997e-07
0.0455        	1.362831e-07
0.046         	1.316951e-07
0.0465        	1.166780e-07
0.047         	1.091253e-07
0.0475        	1.094518e-07
0.048         	1.006959e-07
0.0485        	9.221838e-08
0.049         	8.935522e-08
0.0495        	6.429342e-08
0.05          	6.240289e-08
0.0505        	5.111254e-08
0.051         	4.108058e-08
0.0515        	3.130595e-08
0.052         	2.391396e-08
0.0525        	2.457349e-08
0.053         	2.079661e-08
0.0535        	2.460167e-08
0.054         	2.443373e-08
0.0545        	2.565298e-08
0.055         	2.597897e-08
0.0555        	2.340000e-08
0.056         	2.185828e-08
0.0565        	1.967198e-08
0.057         	1.726025e-08
0.0575        	1.545788e-08
0.058         	1.301374e-08
0.0585        	1.123046e-08
0.059         	9.875469e-09
0.0595        	8.947090e-09
0.06          	6.045925e-09
0.0605        	3.363752e-09
0.061         	2.916821e-09
0.0615        	-1.350806e-08
0.062         	-2.530359e-08
0.0625        	-3.178020e-08
0.063         	-3.457516e-08
0.0635        	-3.462886e-08
0.064         	-3.392123e-08
0.0645        	-2.795123e-08
0.065         	-2.506472e-08
0.0655        	-2.008101e-08
0.066         	-5.548307e-09
0.0665        	1.671833e-09
0.067         	6.960457e-09
0.0675        	1.093342e-08
0.068         	1.642977e-08
0.0685        	2.290327e-08
0.069         	2.889436e-08
0.0695        	4.033161e-08
0.07          	5.288654e-08
0.0705        	6.183263e-08
0.071         	6.703701e-08
0.0715        	7.887852e-08
0.072         	9.254892e-08
0.0725        	1.065577e-07
0.073         	1.218812e-07
0.0735        	1.360776e-07
0.074         	1.505142e-07
0.0745        	1.651294e-07
0.075         	1.769984e-07
0.0755        	1.872399e-07
0.076         	1.971595e-07
0.0765        	2.068670e-07
0.077         	2.151087e-07
0.0775        	2.241276e-07
0.078         	2.323698e-07
0.0785        	2.366308e-07
0.079         	2.439785e-07
0.0795        	2.497362e-07
0.08          	2.541313e-07
0.0805        	2.680240e-07
0.081         	2.787416e-07
0.0815        	2.711156e-07
0.082         	2.642858e-07
0.0825        	2.571593e-07
0.083         	2.497181e-07
0.0835        	2.434055e-07
0.084         	2.303918e-07
0.0845        	2.107657e-07
0.085         	1.998456e-07
0.0855        	1.933329e-07
0.086         	1.859095e-07
0.0865        	1.786353e-07
0.087         	1.721407e-07
0.0875        	1.652711e-07
0.088         	1.608752e-07
0.0885        	1.564906e-07
0.089         	1.523794e-07
0.0895        	1.484051e-07
0.09          	1.454289e-07
0.0905        	1.428429e-07
0.091         	1.407993e-07
0.0915        	1.439423e-07
0.092         	1.442819e-07
0.0925        	1.440494e-07
0.093         	1.429942e-07
0.0935        	1.428231e-07
0.094         	1.420146e-07
0.0945        	1.403865e-07
0.095         	1.384133e-07
0.0955        	1.356148e-07
0.096         	1.325916e-07
0.0965        	1.272901e-07
0.097         	1.270873e-07
0.0975        	1.290236e-07
0.098         	1.296575e-07
0.0985        	1.262259e-07
0.099         	1.261937e-07
0.0995        	1.266479e-07
0.1           	1.257468e-07
