# Region type : patch outlet
# Faces  :    4
# Area   :    1.156000e-03
# Time        	sum(phi)
0.0005        	5.780000e-05
0.001         	5.780000e-05
0.0015        	5.780000e-05
0.002         	5.780000e-05
0.0025        	5.780000e-05
0.003         	5.780000e-05
0.0035        	5.780000e-05
0.004         	5.780000e-05
0.0045        	5.780000e-05
0.005         	5.780000e-05
0.0055        	5.780000e-05
0.006         	5.780000e-05
0.0065        	5.780000e-05
0.007         	5.780000e-05
0.0075        	5.780000e-05
0.008         	5.780000e-05
0.0085        	5.780000e-05
0.009         	5.780000e-05
0.0095        	5.780000e-05
0.01          	5.780000e-05
0.0105        	5.780000e-05
0.011         	5.780000e-05
0.0115        	5.780000e-05
0.012         	5.780000e-05
0.0125        	5.780000e-05
0.013         	5.780000e-05
0.0135        	5.780000e-05
0.014         	5.780000e-05
0.0145        	5.780000e-05
0.015         	5.780000e-05
0.0155        	5.780000e-05
0.016         	5.780000e-05
0.0165        	5.780000e-05
0.017         	5.780000e-05
0.0175        	5.780000e-05
0.018         	5.780000e-05
0.0185        	5.780000e-05
0.019         	5.780000e-05
0.0195        	5.780000e-05
0.02          	5.780000e-05
0.0205        	5.780000e-05
0.021         	5.780000e-05
0.0215        	5.780000e-05
0.022         	5.780000e-05
0.0225        	5.780000e-05
0.023         	5.780000e-05
0.0235        	5.780000e-05
0.024         	5.780000e-05
0.0245        	5.780000e-05
0.025         	5.780000e-05
0.0255        	5.780000e-05
0.026         	5.780000e-05
0.0265        	5.780000e-05
0.027         	5.780000e-05
0.0275        	5.780000e-05
0.028         	5.780000e-05
0.0285        	5.780000e-05
0.029         	5.780000e-05
0.0295        	5.780000e-05
0.03          	5.780000e-05
0.0305        	5.780000e-05
0.031         	5.780000e-05
0.0315        	5.780000e-05
0.032         	5.780000e-05
0.0325        	5.780000e-05
0.033         	5.780000e-05
0.0335        	5.780000e-05
0.034         	5.780000e-05
0.0345        	5.780000e-05
0.035         	5.780000e-05
0.0355        	5.780000e-05
0.036         	5.780000e-05
0.0365        	5.780000e-05
0.037         	5.780000e-05
0.0375        	5.780000e-05
0.038         	5.780000e-05
0.0385        	5.780000e-05
0.039         	5.780000e-05
0.0395        	5.780000e-05
0.04          	5.780000e-05
0.0405        	5.780000e-05
0.041         	5.780000e-05
0.0415        	5.780000e-05
0.042         	5.780000e-05
0.0425        	5.780000e-05
0.043         	5.780000e-05
0.0435        	5.780000e-05
0.044         	5.780000e-05
0.0445        	5.780000e-05
0.045         	5.780000e-05
0.0455        	5.780000e-05
0.046         	5.780000e-05
0.0465        	5.780000e-05
0.047         	5.780000e-05
