# t Fx Fy Fz
0.003 -4.11069910883117e-25 4.11069910883117e-25 1.24600595450115e-05
0.004 1.10087765481391e-09 1.10756831674584e-09 1.24296402042413e-05
0.005 2.10480634935103e-09 2.11154607427178e-09 1.23982598581077e-05
0.006 3.08231038628962e-09 3.08908940593615e-09 1.23677549459618e-05
0.007 4.03392096141886e-09 4.04073498298403e-09 1.23380985107457e-05
0.008 4.96009310913874e-09 4.96693835336586e-09 1.2309264092928e-05
0.009 5.8612203171457e-09 5.86809373399652e-09 1.22812260527279e-05
0.01 6.73772571937235e-09 6.744624177446e-09 1.22539596705206e-05
0.011 7.59003799353947e-09 7.5969583061884e-09 1.222744122671e-05
0.012 8.41855548699636e-09 8.42549466052825e-09 1.22016481914892e-05
0.013 9.22371219988716e-09 9.230667562583e-09 1.21765582976304e-05
0.014 1.00059446382269e-08 1.00129136489653e-08 1.21521500542631e-05
0.015 1.07656887513054e-08 1.07726690518175e-08 1.21284026658347e-05
0.016 1.15034158258705e-08 1.15104048167267e-08 1.2105296069177e-05
0.017 1.22195832602712e-08 1.22265787463391e-08 1.20828108298021e-05
0.018 1.29146302054617e-08 1.29216301888242e-08 1.20609281426422e-05
0.019 1.3588994034468e-08 1.35959966374676e-08 1.20396298181975e-05
0.02 1.42431077739137e-08 1.42501112413954e-08 1.20188982612871e-05
0.021 1.48774060089791e-08 1.48844086904258e-08 1.19987164477432e-05
0.022 1.54923162986087e-08 1.54993166554591e-08 1.19790679108256e-05
0.023 1.60882634316569e-08 1.60952600276119e-08 1.1959936717393e-05
0.024 1.66656681441492e-08 1.66726596398944e-08 1.19413074507463e-05
0.025 1.72249465152904e-08 1.72319316726927e-08 1.19231651938808e-05
0.026 1.77665111083381e-08 1.77734887491256e-08 1.19054955085641e-05
0.027 1.82907684208435e-08 1.82977374621369e-08 1.18882844279134e-05
0.028 1.87980821422257e-08 1.88050420124157e-08 1.18715183035247e-05
0.029 1.92887706131678e-08 1.92957206710641e-08 1.18551838080278e-05
0.03 1.97632270303697e-08 1.97701664357778e-08 1.18392682771906e-05
0.031 2.02218411405021e-08 2.02287690751033e-08 1.18237594427745e-05
0.032 2.06649881312538e-08 2.06719038780142e-08 1.18086454324989e-05
0.033 2.10930455418871e-08 2.10999484320518e-08 1.17939147510223e-05
0.034 2.15063828798254e-08 2.15132723008723e-08 1.17795562701385e-05
0.035 2.19053639081279e-08 2.19122393001103e-08 1.17655592157544e-05
0.036 2.22903466381741e-08 2.2297207490911e-08 1.17519131559213e-05
0.037 2.2661683239001e-08 2.26685290897107e-08 1.17386079892825e-05
0.038 2.30197199124938e-08 2.30265503438597e-08 1.17256339339159e-05
0.039 2.33647967834749e-08 2.33716114213478e-08 1.17129815165105e-05
