# Region type : patch wall
# Faces  :    768
# Area   :    4.787251e-03
# Time        	sum(phi)
0.0005        	-3.055573e-08
0.001         	-3.790030e-08
0.0015        	-3.385380e-08
0.002         	-4.261654e-08
0.0025        	-5.774431e-08
0.003         	-7.387169e-08
0.0035        	-8.438333e-08
0.004         	-8.974693e-08
0.0045        	-7.322406e-08
0.005         	-5.938651e-08
0.0055        	-5.726682e-08
0.006         	-4.728661e-08
0.0065        	-5.281004e-08
0.007         	-5.320942e-08
0.0075        	-4.875997e-08
0.008         	-3.624857e-08
0.0085        	-2.928580e-08
0.009         	-3.348633e-08
0.0095        	-3.030987e-08
0.01          	-2.679023e-08
0.0105        	-3.644533e-08
0.011         	-4.418331e-08
0.0115        	-4.637783e-08
0.012         	-4.805823e-08
0.0125        	-3.045137e-08
0.013         	-1.873106e-09
0.0135        	4.907509e-09
0.014         	5.035649e-09
0.0145        	7.881635e-09
0.015         	1.120335e-08
0.0155        	1.613250e-08
0.016         	1.547768e-08
0.0165        	7.650192e-09
0.017         	6.982633e-09
0.0175        	-2.106418e-08
0.018         	-3.483042e-08
0.0185        	-3.563568e-08
0.019         	-4.277854e-08
0.0195        	-4.084779e-08
0.02          	-4.573150e-08
0.0205        	-2.804824e-08
0.021         	-3.033652e-08
0.0215        	-3.645553e-08
0.022         	-3.198986e-08
0.0225        	-3.506127e-08
0.023         	-4.598267e-08
0.0235        	-3.584448e-08
0.024         	-2.718474e-08
0.0245        	-1.413641e-08
0.025         	-2.283119e-08
0.0255        	-2.010670e-08
0.026         	-1.431325e-08
0.0265        	-1.372395e-08
0.027         	-1.804755e-08
0.0275        	-1.971292e-08
0.028         	-1.502531e-08
0.0285        	-4.155051e-09
0.029         	-1.125532e-08
0.0295        	-9.900567e-09
0.03          	-3.391066e-09
0.0305        	-3.283152e-09
0.031         	-6.544804e-09
0.0315        	-4.766078e-09
0.032         	-1.840442e-09
0.0325        	-6.088116e-09
0.033         	-1.318239e-08
0.0335        	-1.677757e-08
0.034         	-1.352538e-08
0.0345        	-2.068000e-08
0.035         	-2.067390e-08
0.0355        	-1.905213e-08
0.036         	-1.229436e-08
0.0365        	-1.061733e-08
0.037         	-1.359751e-08
0.0375        	-1.338877e-08
0.038         	-1.119649e-08
0.0385        	-1.321316e-08
0.039         	-1.884689e-08
0.0395        	-2.483566e-08
0.04          	-1.153732e-08
0.0405        	-1.059750e-08
0.041         	-2.031345e-08
0.0415        	-1.708043e-08
0.042         	-1.171460e-08
0.0425        	-9.765133e-09
0.043         	-1.468308e-08
0.0435        	-1.580723e-08
0.044         	-5.203073e-09
0.0445        	5.313232e-09
0.045         	3.623410e-09
0.0455        	3.725418e-10
0.046         	-1.516489e-09
0.0465        	4.238210e-09
0.047         	-2.385679e-09
0.0475        	-5.318522e-09
0.048         	-3.888259e-09
0.0485        	1.799712e-09
0.049         	-2.852278e-09
0.0495        	-6.048723e-09
0.05          	-3.947617e-09
0.0505        	-3.466509e-09
0.051         	-1.317961e-08
0.0515        	-2.908037e-09
0.052         	-2.822246e-10
0.0525        	-8.166772e-09
0.053         	-1.116473e-08
0.0535        	-1.224115e-08
0.054         	-1.219454e-08
0.0545        	-1.283844e-08
0.055         	-8.435647e-09
0.0555        	-1.291514e-08
0.056         	-5.493848e-09
0.0565        	8.180537e-10
0.057         	-1.869602e-09
0.0575        	-3.498592e-09
0.058         	4.187034e-09
